epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,5.452,7.396,33.380,0.685,14.415,32.415
2,2000,2.683,14.576,31.823,0.475,18.743,32.046
2,3000,2.214,16.612,32.126,0.441,18.077,31.973
3,4000,1.880,18.130,31.140,0.329,18.947,31.360
4,5000,1.791,18.691,32.490,0.303,20.417,32.059
4,6000,1.629,19.685,32.758,0.301,19.055,32.134
5,7000,1.484,20.505,31.723,0.280,20.338,31.202
6,8000,1.427,20.653,31.624,0.437,13.833,31.836
6,9000,1.341,21.558,31.881,0.248,22.072,31.758
7,10000,1.372,20.981,31.363,0.269,21.510,31.076
8,11000,1.263,22.076,31.785,0.223,25.186,31.697
8,12000,1.180,22.856,31.933,0.227,22.726,31.964
9,13000,1.162,22.573,31.432,0.213,23.516,30.884
10,14000,1.066,23.780,31.530,0.257,26.493,31.951
10,15000,1.124,22.934,32.295,0.195,25.236,32.016
11,16000,1.058,23.430,31.521,0.196,24.111,31.021
12,17000,0.994,24.177,31.848,0.198,23.180,31.147
12,18000,0.963,24.358,32.003,0.179,26.654,31.779
13,19000,0.945,24.164,32.259,0.176,25.662,31.784
14,20000,0.924,24.363,31.765,0.176,23.927,31.796
14,21000,0.922,24.625,32.310,0.176,24.236,31.560
15,22000,0.884,24.544,32.036,0.166,27.929,31.239
16,23000,0.886,24.974,32.065,0.167,28.492,31.523
16,24000,0.842,25.091,31.959,0.163,26.600,31.486
17,25000,0.823,25.065,31.559,0.160,26.097,31.209
18,26000,0.828,24.857,31.192,0.155,27.105,31.864
18,27000,0.803,25.621,31.937,0.160,24.117,31.565
19,28000,0.796,25.273,31.544,0.159,24.281,30.899
20,29000,0.761,25.936,31.794,0.168,24.130,31.486
20,30000,0.760,25.703,31.976,0.160,23.859,31.072
21,31000,0.783,26.102,31.438,0.149,27.113,31.421
22,32000,0.753,26.353,32.109,0.144,29.050,30.927
22,33000,0.738,26.428,31.818,0.146,25.997,31.699
23,34000,0.722,26.307,31.651,0.148,24.716,30.427
24,35000,0.749,26.195,31.564,0.142,27.268,31.922
24,36000,0.698,26.471,31.981,0.156,23.646,31.599
25,37000,0.724,26.321,31.775,0.150,24.624,30.902
26,38000,0.711,26.668,31.262,0.138,29.830,31.387
26,39000,0.677,26.939,31.833,0.138,27.599,31.386
27,40000,0.690,26.926,31.251,0.160,24.176,31.942
28,41000,0.678,26.939,31.941,0.148,26.624,32.054
28,42000,0.660,27.327,31.959,0.135,28.171,31.321
29,43000,0.660,27.441,31.456,0.141,25.259,31.338
30,44000,0.649,27.351,32.076,0.134,30.079,31.248
30,45000,0.659,27.507,31.957,0.131,30.131,31.144
31,46000,0.645,27.535,31.597,0.131,29.470,30.914
32,47000,0.645,27.791,31.655,0.138,26.394,31.247
32,48000,0.621,27.791,31.574,0.138,25.171,30.162
33,49000,0.626,27.963,29.789,0.131,28.239,31.579
34,50000,0.617,27.815,31.372,0.128,29.245,31.307
34,51000,0.611,28.109,29.623,0.131,26.967,28.331
35,52000,0.629,28.074,28.406,0.134,27.389,28.158
36,53000,0.631,28.645,26.591,0.135,27.290,28.283
36,54000,0.612,28.605,27.329,0.130,26.829,26.105
37,55000,0.608,29.009,26.299,0.130,28.294,23.194
38,56000,0.604,28.798,22.680,0.129,29.073,23.382
38,57000,0.599,28.894,23.921,0.157,24.150,23.417
39,58000,0.607,28.864,23.018,0.133,28.903,23.349
40,59000,0.605,29.079,22.612,0.132,25.251,23.264
40,60000,0.596,29.232,23.166,0.125,29.060,22.712
41,61000,0.585,29.263,23.085,0.128,28.785,22.336
42,62000,0.594,29.101,23.614,0.130,28.070,22.529
42,63000,0.580,29.242,23.217,0.152,20.299,23.731
43,64000,0.581,29.682,23.073,0.151,22.551,23.887
44,65000,0.566,29.680,22.839,0.188,17.795,23.922
44,66000,0.575,29.491,23.474,0.141,23.336,24.289
45,67000,0.569,29.570,24.939,0.138,21.895,22.992
46,68000,0.567,29.803,25.214,0.129,24.727,24.951
46,69000,0.563,29.826,25.161,0.146,22.756,23.726
47,70000,0.601,29.827,25.455,0.126,29.621,24.687
48,71000,0.575,31.457,23.708,0.119,31.126,23.922
48,72000,0.557,31.326,24.518,0.120,29.251,23.934
49,73000,0.552,31.333,23.881,0.122,29.629,23.558
50,74000,0.554,31.314,23.922,0.120,30.543,23.538
50,75000,0.547,31.566,23.888,0.119,29.472,24.071
51,76000,0.547,31.544,24.242,0.121,31.317,24.148
52,77000,0.543,31.707,24.174,0.124,26.821,23.408
52,78000,0.593,31.482,24.200,0.121,30.572,23.745
53,79000,0.560,31.984,23.220,0.119,30.772,23.042
54,80000,0.541,31.945,24.163,0.121,30.991,23.944
54,81000,0.531,31.943,24.721,0.127,28.881,23.401
55,82000,0.531,32.022,24.916,0.117,30.405,22.980
56,83000,0.532,31.910,25.149,0.118,31.290,24.045
56,84000,0.532,31.856,25.130,0.129,28.987,24.281
57,85000,0.522,31.971,24.391,0.119,30.289,23.241
58,86000,0.529,31.741,24.234,0.119,30.137,23.496
58,87000,0.529,31.845,24.369,0.118,31.383,24.599
59,88000,0.527,31.847,23.856,0.119,29.852,23.630
60,89000,0.522,31.922,24.165,0.122,31.417,23.706
60,90000,0.520,31.898,24.548,0.118,30.439,23.098
61,91000,0.517,31.929,24.338,0.121,30.094,23.687
62,92000,0.514,31.905,23.971,0.118,31.082,23.747
62,93000,0.517,31.997,24.451,0.120,28.190,23.649
63,94000,0.514,31.966,24.250,0.119,29.003,24.056
64,95000,0.519,31.933,24.982,0.118,29.430,24.301
64,96000,0.521,31.959,24.322,0.117,31.462,24.599
65,97000,0.505,32.206,24.607,0.117,31.303,24.083
66,98000,0.509,32.112,24.396,0.116,30.156,24.125
66,99000,0.514,32.000,23.916,0.117,31.554,24.448
67,100000,0.501,32.045,23.303,0.117,31.077,24.979
