epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,2.095,15.818,15.406,0.266,24.780,15.335
2,2000,1.208,26.040,15.647,0.212,27.214,15.396
2,3000,1.066,27.523,15.783,0.189,28.361,15.407
3,4000,0.979,28.580,15.574,0.177,28.898,15.158
4,5000,0.924,29.308,15.725,0.169,29.231,14.835
4,6000,0.879,29.848,16.206,0.163,29.415,15.362
5,7000,0.842,30.358,15.363,0.157,29.924,15.082
6,8000,0.818,30.635,15.847,0.153,29.861,14.841
6,9000,0.790,30.994,15.701,0.150,30.073,15.137
7,10000,0.770,31.280,15.529,0.149,30.036,14.866
8,11000,0.753,31.453,15.607,0.144,30.434,15.126
8,12000,0.733,31.741,15.552,0.142,30.485,15.022
9,13000,0.719,31.914,18.774,0.141,30.434,16.693
10,14000,0.704,32.110,18.072,0.138,30.749,19.646
10,15000,0.695,32.250,20.316,0.138,30.626,20.285
11,16000,0.682,32.395,20.093,0.136,30.859,19.743
12,17000,0.672,32.617,19.920,0.134,30.902,19.654
12,18000,0.661,32.693,20.009,0.133,30.801,19.852
13,19000,0.651,32.882,19.770,0.134,30.799,19.901
14,20000,0.648,32.879,19.713,0.129,31.096,18.978
14,21000,0.635,33.087,19.693,0.131,31.037,19.125
15,22000,0.628,33.189,19.074,0.130,30.911,18.689
16,23000,0.628,33.161,19.374,0.130,31.038,18.785
16,24000,0.617,33.363,20.193,0.128,31.050,19.868
17,25000,0.607,33.512,20.066,0.129,31.109,19.940
18,26000,0.604,33.542,20.148,0.126,31.327,19.770
18,27000,0.600,33.606,20.391,0.125,31.298,20.150
19,28000,0.594,33.659,19.736,0.125,31.302,19.354
20,29000,0.588,33.760,19.881,0.124,31.366,20.073
20,30000,0.583,33.839,20.000,0.123,31.459,18.436
21,31000,0.581,33.962,20.056,0.124,31.270,19.038
22,32000,0.575,33.965,19.864,0.123,31.414,19.937
22,33000,0.569,34.084,20.032,0.123,31.433,19.171
23,34000,0.566,34.101,19.878,0.122,31.376,19.865
24,35000,0.561,34.207,20.234,0.121,31.516,19.935
24,36000,0.560,34.197,20.296,0.121,31.531,18.507
25,37000,0.556,34.279,20.075,0.120,31.559,19.000
26,38000,0.551,34.341,19.584,0.121,31.418,19.283
26,39000,0.546,34.422,18.960,0.122,30.797,19.901
27,40000,0.546,34.423,19.649,0.120,31.526,19.752
28,41000,0.543,34.472,19.646,0.119,31.604,20.146
28,42000,0.534,34.677,20.154,0.119,31.480,20.024
29,43000,0.536,34.569,19.048,0.118,31.641,19.757
30,44000,0.534,34.615,18.818,0.119,31.701,19.011
30,45000,0.527,34.756,18.743,0.120,31.621,19.534
31,46000,0.525,34.766,18.922,0.117,31.845,20.258
32,47000,0.524,34.820,19.755,0.117,31.595,20.017
32,48000,0.522,34.798,20.197,0.117,31.752,19.883
33,49000,0.522,34.789,19.893,0.117,31.717,19.742
34,50000,0.514,34.955,19.923,0.116,31.826,19.781
34,51000,0.514,34.957,20.505,0.117,31.576,20.103
35,52000,0.511,35.006,19.966,0.118,31.657,20.085
36,53000,0.511,34.982,20.027,0.115,31.781,19.796
36,54000,0.504,35.116,20.041,0.115,31.766,19.947
37,55000,0.507,35.077,19.909,0.114,31.975,19.956
38,56000,0.501,35.168,20.088,0.114,31.737,19.070
38,57000,0.501,35.186,20.129,0.115,31.810,18.572
39,58000,0.497,35.248,18.544,0.114,31.918,20.307
40,59000,0.499,35.239,19.590,0.118,31.663,20.170
40,60000,0.494,35.293,20.377,0.113,31.861,19.611
41,61000,0.496,35.243,19.588,0.113,31.971,19.891
42,62000,0.488,35.428,19.961,0.114,31.932,19.729
42,63000,0.491,35.335,19.987,0.115,31.885,19.931
