epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,0.154,24.610,14.422,0.068,19.939,14.960
1,2000,0.092,26.704,14.572,0.062,20.563,14.985
1,3000,0.083,27.817,14.759,0.085,16.940,15.149
2,4000,0.079,28.981,14.548,0.060,20.934,15.123
2,5000,0.068,28.919,14.678,0.058,21.253,14.905
2,6000,0.065,29.263,14.363,0.085,16.735,15.095
3,7000,0.064,30.512,14.404,0.058,21.095,14.913
3,8000,0.056,30.103,14.723,0.057,21.359,14.990
3,9000,0.056,29.962,14.352,0.088,16.305,15.066
4,10000,0.054,31.476,14.445,0.058,21.172,15.005
4,11000,0.049,30.883,14.613,0.057,21.027,15.191
4,12000,0.051,30.557,17.084,0.090,16.167,23.261
5,13000,0.047,32.192,17.036,0.057,21.175,23.052
5,14000,0.044,31.384,17.270,0.057,20.957,23.196
5,15000,0.047,31.120,17.242,0.090,16.075,23.006
6,16000,0.043,32.682,17.228,0.057,21.179,22.994
6,17000,0.041,31.821,17.374,0.057,20.953,22.706
6,18000,0.043,31.684,17.344,0.090,16.078,22.112
7,19000,0.041,33.131,17.104,0.057,21.160,21.693
7,20000,0.038,32.217,17.124,0.057,21.031,21.261
7,21000,0.040,32.195,17.227,0.090,15.995,22.979
8,22000,0.038,33.562,17.285,0.057,21.010,22.037
8,23000,0.036,32.661,17.149,0.056,21.097,22.758
8,24000,0.037,32.703,17.175,0.087,16.259,22.956
9,25000,0.036,33.973,17.239,0.057,21.080,21.535
9,26000,0.034,32.891,17.039,0.056,21.010,21.530
9,27000,0.035,33.087,17.119,0.087,16.205,21.713
10,28000,0.035,34.251,16.943,0.057,21.096,21.754
10,29000,0.032,33.289,17.020,0.056,21.047,21.748
10,30000,0.034,33.359,17.072,0.086,16.272,21.702
11,31000,0.034,34.504,16.871,0.057,21.128,21.800
11,32000,0.031,33.625,17.018,0.056,21.008,21.627
11,33000,0.033,33.606,17.025,0.085,16.398,21.660
12,34000,0.033,34.754,16.940,0.056,21.190,21.862
12,35000,0.030,33.913,17.046,0.056,21.021,21.710
12,36000,0.031,34.013,17.078,0.086,16.300,22.099
13,37000,0.032,34.972,16.873,0.056,21.175,21.794
13,38000,0.028,34.226,15.356,0.056,20.971,17.731
13,39000,0.030,34.244,17.090,0.087,16.225,21.920
14,40000,0.031,35.166,13.907,0.056,21.176,20.762
14,41000,0.027,34.446,17.126,0.056,20.828,22.326
14,42000,0.029,34.446,17.050,0.087,16.253,22.066
15,43000,0.030,35.344,17.108,0.056,21.185,22.414
15,44000,0.026,34.728,17.027,0.056,20.923,21.467
15,45000,0.029,34.673,16.618,0.087,16.191,16.140
16,46000,0.029,35.548,15.373,0.056,21.116,22.989
16,47000,0.025,35.048,17.105,0.056,20.857,21.810
16,48000,0.028,34.885,16.947,0.086,16.244,19.182
17,49000,0.028,35.694,16.592,0.056,21.127,21.556
17,50000,0.024,35.300,16.079,0.056,20.952,16.901
17,51000,0.028,34.929,16.626,0.088,16.104,22.961
18,52000,0.028,35.769,17.134,0.056,21.154,23.000
18,53000,0.024,35.390,17.322,0.056,21.062,23.019
18,54000,0.027,35.247,17.213,0.086,16.272,19.638
19,55000,0.028,35.872,16.451,0.056,21.133,21.721
19,56000,0.024,35.499,17.241,0.055,21.085,22.099
19,57000,0.027,35.236,17.223,0.087,16.187,20.898
20,58000,0.028,35.911,16.366,0.056,21.202,20.210
20,59000,0.023,35.691,17.320,0.056,20.883,22.742
20,60000,0.026,35.495,17.292,0.087,16.162,23.199
21,61000,0.027,36.093,17.194,0.056,21.125,21.689
21,62000,0.022,35.946,17.159,0.055,21.258,22.900
21,63000,0.026,35.461,17.085,0.087,16.259,23.066
22,64000,0.027,36.149,17.185,0.056,21.103,23.024
22,65000,0.022,36.045,17.135,0.055,21.188,23.213
22,66000,0.026,35.572,17.084,0.086,16.312,22.950
23,67000,0.026,36.281,17.155,0.056,21.187,22.754
23,68000,0.022,36.149,17.152,0.055,21.110,22.795
23,69000,0.025,35.599,17.154,0.086,16.251,23.121
24,70000,0.026,36.381,17.253,0.056,21.190,22.665
24,71000,0.021,36.332,17.362,0.055,21.412,22.047
24,72000,0.025,35.717,17.154,0.085,16.411,22.512
25,73000,0.026,36.432,17.046,0.056,21.162,22.233
25,74000,0.021,36.365,17.209,0.055,21.186,22.729
25,75000,0.024,35.928,17.125,0.086,16.349,23.062
26,76000,0.025,36.519,17.197,0.057,21.064,23.055
26,77000,0.021,36.466,17.313,0.055,21.223,22.231
26,78000,0.024,35.930,17.312,0.086,16.298,22.823
27,79000,0.025,36.674,17.276,0.057,21.087,22.933
27,80000,0.020,36.646,17.309,0.055,21.301,22.600
27,81000,0.025,35.868,17.316,0.086,16.258,23.013
28,82000,0.024,36.804,17.139,0.057,21.015,22.494
28,83000,0.020,36.661,17.184,0.055,21.076,22.432
28,84000,0.024,36.071,17.193,0.087,16.185,23.192
29,85000,0.024,37.001,16.965,0.057,21.058,22.859
29,86000,0.020,36.749,17.113,0.055,21.329,22.031
29,87000,0.024,36.136,17.349,0.086,16.206,22.700
30,88000,0.023,37.073,17.247,0.056,21.048,22.907
30,89000,0.019,36.950,17.386,0.055,21.098,22.797
30,90000,0.023,36.427,17.333,0.084,16.427,22.965
31,91000,0.023,37.193,17.010,0.056,21.099,23.001
31,92000,0.019,36.997,17.157,0.055,21.237,21.827
31,93000,0.022,36.537,17.223,0.083,16.551,22.281
32,94000,0.023,37.267,17.232,0.056,21.192,21.450
32,95000,0.019,37.121,17.328,0.055,21.342,22.656
32,96000,0.022,36.492,17.059,0.083,16.523,22.974
33,97000,0.023,37.190,17.255,0.056,21.170,22.981
33,98000,0.019,37.069,17.104,0.055,21.294,22.104
33,99000,0.022,36.469,17.132,0.084,16.403,22.869
34,100000,0.023,37.227,17.136,0.056,21.123,22.968
