epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,2.096,15.975,24.096,0.258,25.646,24.159
2,2000,1.230,25.750,24.074,0.217,27.304,23.913
2,3000,1.094,27.192,25.233,0.196,28.244,23.827
3,4000,1.007,28.323,24.331,0.185,28.680,23.452
4,5000,0.953,29.003,24.298,0.175,29.015,24.159
4,6000,0.904,29.555,24.450,0.169,29.260,23.517
5,7000,0.866,30.037,24.089,0.162,29.765,23.507
6,8000,0.845,30.296,23.101,0.156,29.655,24.300
6,9000,0.808,30.740,23.267,0.154,29.918,24.147
7,10000,0.789,31.023,24.113,0.150,30.266,23.788
8,11000,0.770,31.233,23.784,0.146,30.267,24.531
8,12000,0.750,31.495,24.678,0.147,30.400,23.801
9,13000,0.734,31.676,24.009,0.143,30.474,24.514
10,14000,0.719,31.843,24.101,0.141,30.579,23.704
10,15000,0.709,31.989,24.463,0.139,30.715,23.735
11,16000,0.700,32.092,23.834,0.136,30.886,23.963
12,17000,0.680,32.421,23.823,0.135,30.901,23.417
12,18000,0.672,32.447,24.202,0.133,30.908,23.953
13,19000,0.661,32.625,24.171,0.137,30.503,25.721
14,20000,0.654,32.732,25.528,0.132,31.014,26.015
14,21000,0.644,32.886,27.244,0.132,31.001,26.204
15,22000,0.635,32.977,28.621,0.131,31.050,29.030
16,23000,0.635,32.981,29.547,0.129,31.329,29.670
16,24000,0.620,33.214,29.737,0.127,31.232,29.949
17,25000,0.613,33.312,29.262,0.129,31.030,29.299
18,26000,0.610,33.353,29.568,0.125,31.429,29.917
18,27000,0.607,33.432,29.602,0.125,31.441,30.030
19,28000,0.597,33.595,30.061,0.125,31.274,29.795
20,29000,0.592,33.593,30.332,0.123,31.450,29.779
20,30000,0.587,33.666,30.473,0.123,31.542,29.885
21,31000,0.582,33.865,30.568,0.124,31.242,29.500
22,32000,0.577,33.795,29.521,0.122,31.376,29.776
22,33000,0.574,33.939,29.694,0.123,31.328,29.464
23,34000,0.566,34.002,30.088,0.122,31.417,29.382
24,35000,0.563,34.092,29.512,0.122,31.383,29.543
24,36000,0.561,34.063,29.844,0.125,31.199,29.743
25,37000,0.561,34.101,29.449,0.121,31.161,30.015
26,38000,0.550,34.276,29.588,0.119,31.658,29.635
26,39000,0.546,34.346,30.027,0.121,31.268,30.106
27,40000,0.549,34.271,29.282,0.119,31.708,29.539
28,41000,0.540,34.431,29.494,0.118,31.686,29.181
28,42000,0.535,34.551,30.016,0.118,31.611,29.165
29,43000,0.536,34.422,30.349,0.118,31.657,29.966
30,44000,0.534,34.511,29.704,0.118,31.504,29.781
30,45000,0.525,34.654,28.955,0.120,31.350,29.625
31,46000,0.528,34.657,29.333,0.120,31.616,29.843
32,47000,0.522,34.812,29.595,0.118,31.611,29.638
32,48000,0.519,34.711,29.902,0.117,31.668,28.919
33,49000,0.521,34.745,29.832,0.116,31.849,30.241
34,50000,0.513,34.877,29.737,0.117,31.743,30.275
34,51000,0.512,34.856,29.876,0.115,31.783,30.852
35,52000,0.510,34.902,29.288,0.115,31.746,29.268
36,53000,0.513,34.866,29.674,0.115,31.715,29.535
36,54000,0.503,35.020,29.665,0.114,31.930,28.998
37,55000,0.502,35.061,29.780,0.115,31.844,29.520
38,56000,0.499,35.108,29.802,0.116,31.626,30.084
38,57000,0.501,35.143,29.506,0.116,31.722,28.308
39,58000,0.495,35.196,30.036,0.116,31.578,29.412
40,59000,0.495,35.184,30.235,0.114,31.883,30.294
40,60000,0.493,35.228,30.556,0.114,31.814,29.986
41,61000,0.492,35.220,29.513,0.114,31.772,29.724
42,62000,0.483,35.406,29.687,0.115,31.707,29.303
42,63000,0.489,35.208,29.932,0.113,31.725,29.083
43,64000,0.487,35.318,29.568,0.114,31.709,29.405
44,65000,0.482,35.421,29.439,0.114,31.803,30.156
44,66000,0.481,35.425,29.714,0.112,32.046,29.911
45,67000,0.479,35.439,29.482,0.112,31.962,29.064
46,68000,0.477,35.534,29.514,0.114,31.767,29.769
46,69000,0.477,35.435,30.803,0.112,31.853,29.016
47,70000,0.477,35.553,29.692,0.111,32.036,29.752
48,71000,0.474,35.553,29.275,0.111,31.968,29.858
48,72000,0.470,35.602,29.955,0.112,31.875,29.186
49,73000,0.469,35.645,29.368,0.112,31.936,30.535
50,74000,0.472,35.537,29.302,0.111,32.013,30.145
50,75000,0.465,35.675,29.705,0.111,31.966,30.178
51,76000,0.468,35.694,29.958,0.111,31.909,29.762
52,77000,0.464,35.699,29.529,0.114,31.733,30.273
52,78000,0.468,35.659,30.029,0.112,31.983,30.144
53,79000,0.463,35.800,29.710,0.110,32.043,29.296
54,80000,0.460,35.786,29.297,0.110,31.956,30.091
54,81000,0.458,35.808,29.711,0.111,31.922,29.442
55,82000,0.461,35.835,29.627,0.110,32.035,29.584
56,83000,0.457,35.851,29.388,0.110,31.976,28.993
56,84000,0.455,35.863,29.868,0.109,32.166,29.696
57,85000,0.452,35.983,29.827,0.110,32.088,29.711
58,86000,0.454,35.911,29.005,0.110,32.037,30.797
58,87000,0.455,35.962,29.199,0.110,31.964,30.040
59,88000,0.450,36.011,29.241,0.110,31.846,28.952
60,89000,0.451,35.883,28.934,0.111,31.920,29.797
60,90000,0.452,35.974,29.348,0.109,32.035,29.526
61,91000,0.447,36.049,30.539,0.110,32.075,29.445
62,92000,0.445,36.096,29.968,0.110,32.060,29.681
62,93000,0.448,36.042,30.161,0.110,31.900,29.726
63,94000,0.445,36.060,29.150,0.108,32.059,28.998
64,95000,0.442,36.118,29.734,0.110,32.050,29.314
64,96000,0.443,36.085,30.226,0.110,32.039,29.645
65,97000,0.440,36.118,29.824,0.111,31.940,29.403
66,98000,0.442,36.160,29.637,0.109,32.075,29.541
66,99000,0.440,36.143,29.510,0.109,32.077,29.925
67,100000,0.439,36.163,30.075,0.109,32.007,30.415
