epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,1.789,20.098,4.325,0.032,26.140,3.819
2,2000,1.234,26.612,6.555,0.027,27.500,15.010
2,3000,1.099,27.937,14.899,0.027,27.885,15.093
3,4000,1.018,28.658,7.794,0.023,28.976,4.509
4,5000,0.951,29.451,9.441,0.023,28.987,15.206
4,6000,0.911,29.831,9.593,0.022,29.410,14.071
5,7000,0.878,30.130,10.344,0.022,29.374,15.164
6,8000,0.841,30.538,12.211,0.023,29.427,15.421
6,9000,0.815,30.874,15.130,0.021,29.808,16.188
7,10000,0.802,30.922,15.278,0.020,30.261,15.716
8,11000,0.769,31.345,15.308,0.020,29.999,15.994
8,12000,0.760,31.446,15.303,0.019,30.436,15.794
9,13000,0.740,31.678,15.209,0.019,30.479,15.305
10,14000,0.721,31.872,15.295,0.020,30.385,15.270
10,15000,0.712,32.022,15.364,0.019,30.721,15.703
11,16000,0.710,32.031,15.145,0.018,30.790,15.684
12,17000,0.684,32.390,15.338,0.018,30.869,15.350
12,18000,0.679,32.390,15.255,0.019,30.622,15.443
13,19000,0.673,32.562,15.133,0.018,31.002,15.540
14,20000,0.656,32.735,10.250,0.020,30.159,14.573
14,21000,0.652,32.712,11.007,0.018,31.072,15.210
15,22000,0.647,32.902,15.142,0.018,30.971,10.320
16,23000,0.636,33.009,11.636,0.018,30.987,7.389
16,24000,0.630,33.053,12.011,0.020,30.404,15.566
17,25000,0.629,33.173,15.118,0.017,31.301,9.446
18,26000,0.617,33.181,9.401,0.017,31.365,6.319
18,27000,0.612,33.318,8.841,0.018,31.236,6.813
19,28000,0.607,33.405,8.925,0.017,31.544,7.058
20,29000,0.603,33.534,8.964,0.017,31.258,7.211
20,30000,0.593,33.604,9.120,0.019,30.751,7.855
21,31000,0.589,33.714,9.163,0.017,31.404,8.461
22,32000,0.584,33.729,8.806,0.017,31.438,8.742
22,33000,0.587,33.715,6.887,0.017,31.492,7.288
23,34000,0.574,33.905,8.196,0.018,31.198,8.712
24,35000,0.580,33.825,8.742,0.017,31.292,7.641
24,36000,0.566,34.006,8.506,0.017,31.667,8.777
25,37000,0.563,34.054,8.225,0.017,31.337,8.830
26,38000,0.565,34.048,9.409,0.018,31.261,7.927
26,39000,0.557,34.190,9.014,0.018,31.326,8.070
27,40000,0.555,34.233,8.324,0.017,31.555,8.858
28,41000,0.549,34.264,8.014,0.017,31.571,7.802
28,42000,0.548,34.292,7.247,0.017,31.656,8.622
29,43000,0.544,34.350,7.879,0.017,31.562,5.580
30,44000,0.545,34.357,7.242,0.016,31.851,6.068
30,45000,0.534,34.480,7.069,0.017,31.482,6.556
31,46000,0.533,34.497,5.962,0.017,31.461,8.393
32,47000,0.537,34.487,6.466,0.017,31.564,6.421
32,48000,0.527,34.652,8.285,0.017,31.766,4.564
33,49000,0.526,34.624,7.062,0.017,31.769,6.196
34,50000,0.526,34.650,7.132,0.017,31.691,6.195
34,51000,0.519,34.781,6.096,0.017,31.890,7.775
35,52000,0.519,34.698,6.619,0.017,31.788,8.654
36,53000,0.524,34.625,6.560,0.017,31.671,6.686
36,54000,0.510,34.905,5.725,0.016,31.901,5.181
37,55000,0.510,34.921,7.448,0.017,31.690,5.906
38,56000,0.511,34.917,5.695,0.017,31.791,8.860
38,57000,0.506,34.929,6.115,0.017,31.649,8.146
39,58000,0.505,35.006,6.702,0.016,31.734,8.985
40,59000,0.507,35.001,5.673,0.016,31.756,4.258
40,60000,0.500,35.070,6.854,0.016,31.774,6.026
41,61000,0.500,35.030,7.159,0.016,31.767,6.655
42,62000,0.496,35.194,7.113,0.016,31.966,6.410
42,63000,0.499,35.097,7.260,0.017,31.628,5.585
43,64000,0.492,35.204,7.246,0.016,31.864,6.765
44,65000,0.489,35.288,7.361,0.016,31.826,5.151
44,66000,0.495,35.142,7.286,0.016,31.915,8.719
45,67000,0.485,35.301,7.249,0.016,31.713,9.260
46,68000,0.489,35.272,5.893,0.016,31.758,7.224
46,69000,0.484,35.352,7.478,0.016,31.776,6.736
47,70000,0.482,35.364,8.311,0.017,31.743,6.441
48,71000,0.480,35.423,5.865,0.016,32.091,6.768
48,72000,0.486,35.313,7.850,0.016,31.986,7.126
49,73000,0.479,35.376,7.383,0.016,31.930,7.276
50,74000,0.474,35.550,8.442,0.016,31.808,6.971
50,75000,0.481,35.399,8.799,0.016,31.919,6.976
51,76000,0.474,35.549,8.436,0.016,32.110,7.636
52,77000,0.469,35.643,7.027,0.017,31.668,7.598
52,78000,0.473,35.489,8.360,0.016,31.979,9.811
53,79000,0.470,35.626,6.938,0.016,32.014,7.520
54,80000,0.474,35.563,5.378,0.016,32.031,8.467
54,81000,0.466,35.649,6.427,0.016,32.024,8.874
55,82000,0.465,35.654,8.253,0.016,32.108,8.425
56,83000,0.467,35.675,7.926,0.016,32.126,8.782
56,84000,0.463,35.713,10.021,0.016,32.139,9.564
57,85000,0.463,35.710,9.979,0.016,32.036,10.697
58,86000,0.461,35.773,9.352,0.016,31.942,10.646
58,87000,0.458,35.775,10.048,0.016,32.028,9.334
59,88000,0.456,35.841,9.986,0.016,31.982,10.631
60,89000,0.458,35.797,9.978,0.016,32.067,9.187
60,90000,0.456,35.885,8.897,0.016,32.143,8.992
61,91000,0.459,35.778,10.454,0.016,32.122,10.759
62,92000,0.452,35.952,9.687,0.016,32.095,10.488
62,93000,0.452,35.902,10.242,0.016,32.262,8.367
63,94000,0.454,35.856,10.117,0.016,32.088,8.657
64,95000,0.450,36.005,10.980,0.016,31.773,13.086
64,96000,0.448,35.951,12.245,0.017,31.743,10.757
65,97000,0.452,35.917,13.440,0.016,32.019,8.295
66,98000,0.446,36.064,11.869,0.016,32.119,14.026
